label,comment
positive,"giảng viên nên đổi mới phương pháp giảng dạy , tránh thô cứng , không hấp dẫn sinh viên .
"
positive,"thầy rất nhiệt tình với chúng em và điều này làm em rất hài lòng .
"
positive,"cách giảng dạy của thầy rất hay và có phần dễ hiễu .
"
negative,"không hướng dẫn đồ án .
"
negative,"em xin đề nghị nhà trường nên bổ sung tài liệu về môn học và cập nhật nội dung .
"
positive,"chép bài rất nhiều , lãng phí thời gian nghe giảng .
"
neutral,"em không học thầy wzjwz178 kỳ này , giáo viên thực hành có 2 người nên có lẽ daa nhầm .
"
neutral,"đề thi môn dài sinh viên làm không đủ thời gian .
"
negative,"cho làm nhiều bài test .
"
neutral,"theo em thì nên thi phòng máy nào có visual 2013 trở lên .
"
negative,"thầy cần cho bài tập và hướng dẫn nhiều hơn .
"
neutral,"em thấy thầy chỉ giảng cho có .
"
positive,"cần xác định rõ mục đích môn học và cho sinh viên đề cương chi tiết môn học trước khi bắt đầu .
"
neutral,"thầy nói chuyện với sinh viên rất tự nhiên , chia sẻ kinh nghiệm thực tế .
"
neutral,"dạy theo sát chương trình .
"
neutral,"cung cấp thêm trang thiết bị phục vụ nhu cầu môn học .
"
negative,"đề nghị nâng cấp phòng lab khoa mạng .
"
positive,"thầy giảng hay và tâm huyết , bài giảng có tính thực tiễn cao .
"
negative,"đi dạy đúng giờ .
"
neutral,"các yêu cầu về đồ án môn học nên đươc đưa ra chính xác trước khi sinh viên bắt đầu thực hiện chia nhóm và làm đồ án .
"
negative,"dạy dễ hiểu dễ tiếp thu , tập trung vài kiến thức trọng tâm .
"
negative,"cô khá tận tâm cho học sinh .
"
neutral,"cần cải cách lại nội dung các bài thực hành , một số kiến nội dung trong bài thực hành đã trở nên lỗi thời .
"
negative,"cho làm nhiều bài tập .
"
neutral,"nghiên cứu khoa học .
"
positive,"giáo viên dạy rất tận tâm , nhiệt tình .
"
negative,"chỉ thông báo trên lớp sẽ khó tránh sai sót .
"
negative,"đề nghị lắp thêm quạt .
"
neutral,"dạy kỹ, ok :))
"
neutral,"bài tập cần đa dạng hơn .
"
neutral,"nói rất nhỏ .
"
negative,"giaos vien làm bài sai bị nhawc thì tự ais
"
neutral,"không sửa các bài tập thực hành .
"
negative,"làm bài tập nhiều mặc dù không hiểu lắm .
"
positive,"thầy dạy dễ hiểu , tiết học dễ hiểu , sôi nổi .
"
positive,"thầy giảng dạy nhiệt tình , truyền cảm .
"
positive,"giảng dạy rất chi tiết , dễ hiểu và dễ tiếp thu .
"
positive,"TRUYỀN ĐẠT RẤT DỄ HỈU.
"
neutral,"chỉ cos nói lý thuyết chứ hỏng có chỉ thực hành gì hớt.
"
neutral,"cô chưa có nhiều kênh bài tập cho sinh viên .
"
negative,"bạn nào khá thì có thể áp dụng công thức vào bài tập cả lớp chưa đến 30% còn thực sự hiểu môn học thì rất ít người hiểu .
"
neutral,"không thực hành được buổi nào .
"
negative,"thầy dạy phần lý thuyết hay , nắm bắt được khả năng của sinh viên .
"
negative,"ví dụ đề tài của em là : các nguyên lý cơ bản , bao gồm 7 nguyên tắc của bohm ( 1983 ) .
"
positive,"giáo viên nhiệt tình , dạy dễ hiểu , tận tình với sinh viên .
"
positive,"thầy giảng dạy tận tâm nhiệt tình .
"
positive,"cô dạy rất nhiệt tình và tài liệu của cô rất cụ thể dễ hiểu , cô hướng dẫn rất tận tình .
"
positive,"mong thầy cố gắng honwn trong các học kỳ sau .
"
neutral,"không ý kiến !
"
positive,"nên có sự thống nhất giữa các giảng viên bộ môn trong đề cương giảng dạy .
"
negative,"máy tính cập nhật nhanh hơn .
"
positive,"vui , hòa đồng , nhiệt tình .
"
neutral,"có giúp đỡ sinh viên học tập nghiên cứu .
"
positive,"giảng viên tận tâm , nhiệt tình , ham học hỏi .
"
neutral,"tuy nhiên cô nên cân nhắc lại về số lượng yêu cầu đối với sinh viên để sinh viên không bị khớp vì quá nhiều dẫn đến làm qua loa cho có , như vậy thì kết quả lại không tốt .
"
negative,"thầy tận tâm , nhiệt tình , tạo động lực cho sinh viên .
"
neutral,"thầy giáo tận tình , dạy kỹ , thường đưa ra câu hỏi để xem xét mức độ hiểu biết của sinh viên .
"
neutral,"cần tăng cương trao đổi giữa sinh viên và giáo viên .
"
neutral,"cách truyền đạt của giáo viên chưa có sức hút đối với sinh viên nhiều cho lắm .
"
negative,"chưa tiếp thu trọn vẹn .
"
neutral,"có nhiều bài tập về nhà cơ bản lẫn nâng cao và giảng viên sửa bài đủ .
"
negative,"đôi lúc giảng bài hơi nhanh .
"
neutral,"có một số buổi không đi dạy .
"
positive,"thầy nhiệt tình và dạy dễ hiểu .
"
neutral,"có kiến thức nền tảng này , sinh viên có thể học thêm bất kỳ công nghệ cụ thể nào đó dễ dàng , cũng như tiếp thu thay đổi công nghệ mới nhanh chóng .
"
positive,"tài liệu hỗ trợ toàn tiếng anh rất khó học .
"
negative,"chưa nhận được gì từ môn học này .
"
positive,"giảng viên không hề giảng dạy , chỉ đưa đề cương rồi thôi .
"
negative,"em xin cảm ơn .
"
neutral,"thầy cần phải cho sinh viên biết được học môn này có tác dụng gì và làm được gì khi học xong .
"
negative,"đề nghị tăng thời gian thưc hành .
"
positive,"giáo viện nhiệt tình , tận tâm .
"
negative,"dạy khó hiểu quá nhanh .
"
neutral,"luôn gần gũi , tham khảo ý kiến sinh viên và thống nhất cũng sinh viên .
"
neutral,"nhà trường nên đưa môn học này vào thời khóa biểu bắt buộc ở học kỳ 1 của các sinh viên năm nhất nhằm giúp các em nắm biết được mình nên học gì , mình có nên chuyển đổi ngành hay không .
"
neutral,"chúng em đã gặp khó khắn với khổ giấy nhỏ , mô hình thì lớn và phức tạp .
"
negative,"giảng quá nhiều không đánh vào trọng tâm .
"
positive,"em không muốn nói gì nhưng mong thầy xem lại cách đánh giá sinh viên để công bằng hơn , cái sinh viên không biết không phải chỉ ở cúp tiết mà còn ở cách giảng dạy , truyền đạt ở giảng viên , ví dụ như cô wzjwz324 , rất dễ hiểu , tận tâm .
"
positive,"cô có nhiều hình thức giảng dạy hay .
"
neutral,"hơi khó .
"
negative,"thầy đi trễ .
"
neutral,"giảng tốt .
"
negative,"nói mở rộng nhiều vấn đề về môn học .
"
positive,"giảng viên tạo điều kiện làm nhiều bài tập .
"
positive,"hỗ trợ thêm về các thiết bị dạy và học .
"
negative,"ít giải bài tập trên lớp .
"
neutral,"chia sẻ .
"
positive,"cần thêm các đoạn code cho các giải thuật bổ sung các phương pháp để giải quyết các bài toán liệt kê .
"
neutral,"thông tin đầy đủ về bài tập và các nguồn tham khảo .
"
positive,"cô tận tâm , nhiệt tình , phương pháp dạy dễ hiểu .
"
positive,"thầy giảng rất dễ hiểu và thú vị , thu hút .
"
positive,"hướng dẫn chi tiết về cách thực hành .
"
negative,"giảng viên chỉ cho đồ án và giải đáp các yêu cầu đồ án , không cung cấp tài liệu hay hướng dẫn cơ bản , sinh viên tự tìm hiểu với lý do là hệ tài năng nên cần tự xoay sở .
"
positive,"môn học toàn kiến thức mới mẻ , giảng viên nên giảng chi tiết hơn .
"
neutral,"đến khi cuối kỳ , chỉ cần sinh viên mắc một sai sót nhỏ thì sẽ rớt môn .
"
negative,"thầy dạy hay , tận tình góp ý từng bài .
"
negative,"trên lớp lý thuyết giảng viên yêu cầu sinh viên phải thực hiện đồ án theo những gì mình hướng dẫn , những nhóm sinh viên bổ sung thêm những liên hệ thực tiễn đều bị cho là sai , không phù hợp với đồ án .
"
negative,"thầy giảng bài hay và hiệu quả !
"
negative,"chương trình dạy lý thuyết và thực hành nên khớp với nhau hơn , tránh tình trạng thực hành trước khi học lý thuyết .
"
neutral,"nội dung khảo sat quá dài , nhiều mục lặp đi lặp lại , nhiều bạn khảo sát mà không cần đọc , toàn tích chàn .
"
positive,"dạy tốt và rất nhiệt tình chỉ dạy hoc sinh .
"
negative,"bài tập rất hay .
"
negative,"thầy cô cần cho nhiều dạng bài tập sát với đề thi hơn .
"
positive,"mong thầy vui tính , gần gũi với sinh viên hơn .
"
negative,"cung cấp kiến thức trọng tâm .
"
positive,"cố gắng truyền đạt một cách tốt nhất để sinh viên được hiểu .
"
neutral,"giọng của giảng viên nhỏ dù đã sử dụng micro .
"
negative,"dù phương pháp học tập này khá hiệu quả nhưng vẫn có chút nào đó nghi ngờ từ phần thuyết trình của các bạn , liệu các kiến thức đó có chuẩn xác và cập nhật chưa .
"
positive,"giáo viên có phong cách giảng dạy nghiêm túc .
"
positive,"cô rất vui tính nà , không khí lớp lúc nào cũng vui hết , cô dạy rất hay , dễ hiểu !
"
positive,"giảng viên giảng dạy rất tốt , thường xuyên cung cấp thêm nhiều kiến thức .
"
positive,"thậm chí còn không có bài nào khó bằng các bài trong nội dung của lớp chuyên tin ở các trường cấp 3 .
"
positive,"thầy nên có cách dạy mới cho môn học này để được kết quả tốt cho tất cả mọi người thay vì để rớt rất nhiều người !
"
neutral,"lịch thi thực hành cần được thông báo sớm tới sinh viên và phù hợp với thời gian môn học .
"
positive,"cô nên giảng kỹ và chi tiết từng bài vì nhiều bài đa số các bạn chưa hiểu thì cô lại giảng nhanh để chuyển qua bài khác .
"
negative,"dạy tốt đúng trọng tâm những gì cần biết .
"
negative,"nhiệt tình , lên lớp đúng giờ , dạy dễ hiểu .
"
negative,"nếu em buồn ngủ , dù lên lớp em vẫn sẽ ngủ , mà ngủ ở trên lớp thì đau lưng và tê chân lắm .
"
negative,"cơ mà em học môn này em hiểu <3 .
"
neutral,"thiếu kinh nghiệm truyền đạt .
"
negative,"bài giảng thú vị .
"
negative,"thầy nhiệt huyết và giảng bao quát đề cập đến nhiều khía cạnh của bài học vấn đề .
"
positive,"giảng viên giảng bài kỹ .
"
negative,"hệ thống đồ án chấm điểm theo mức độ hoàn thành của sinh viên , tạo sự ganh đua không hề nhẹ với những nhóm làm chung đồ án , kích thích sáng tạo không ngừng tìm hiểu xây dựng thêm chức năng mới cho đồ án nếu muốn được điểm cao .
"
negative,"nhiệt tình , tâm huyết .
"
negative,"ít chú trọng phần ngữ pháp .
"
positive,"giảng viên còn chưa tận tâm , phong cách giảng dạy chưa thu hút được sinh viên .
"
positive,"thầy dạy rất nhiệt tình , khi dạy thầy luôn đi tới từng sinh viên để hướng dẫn .
"
negative,"cách truyền đạt kiến thức đối với em là rất hiệu quả , trao đổi bài với sinh viên , cô rất nhiệt tình !
"
neutral,"kiến thức rộng , kinh nghiệm thực tế nhiều , truyền cảm hứng cho sinh viên .
"
neutral,"cách dạy sáng tạo .
"
positive,"giảng bài dễ tiếp thu .
"
positive,"cô giảng bài dễ hiểu .
"
positive,"điều em hài lòng nhất đó là thầy đi rất đúng giờ và không dạy quá nhanh .
"
neutral,"em nghĩ cần có các bài tập lớn để nâng cao khả năng lập trình của các sinh viên .
"
positive,"giảng viên có phương pháp giảng dạy hay , cập nhật , phù hợp với sinh viên .
"
negative,"dạy lý thuyết hơi nhiều .
"
negative,"giảng viên chấm bài quy chụp theo kết quả .
"
neutral,"thời lượng môn học quá dài , sinh viên cảm thấy mệt mỏi .
"
positive,"giảng viên vui tính dễ tương tác với sinh viên .
"
negative,"nhiệt tình hay giúp đỡ sinh viên khi không biết , cho nhiều bài tập .
"
positive,"thầy giảng dạy rất nhiệt tình .
"
neutral,"không có gì đặc biệt .
"
positive,"mỗi tháng chỉ gặp giảng viên một lần rất khó cho việc học hỏi , hướng dẫn từ giáo viên .
"
negative,"thầy nên chuẩn bị riêng một slide cho mình để giảng dạy , không nên lấy slide của người khác rồi đến khi sơ sót , thầy lại lấy cái lý do "" đây không là slide của tôi "" , "" cái này tôi cũng không rõ nữa "" .
"
negative,"đôi khi đi quá sâu vào một vấn đề bên lề .
"
positive,"giảng viên dạy tận tâm , nhiệt tình , dễ hiểu .
"
negative,"cô thật nhiệt tình .
"
neutral,"phòng thực hành tốt .
"
negative,"nói chuyện lan man , không liên quan đến môn học quá nhiều .
"
neutral,"thầy bận nhiều nên cũng nghỉ nhiều , hi vọng thầy có thể sắp xếp thời gian .
"
negative,"giáo viên sử dụng giờ trên lớp hiệu quả .
"
negative,"thầy nhiệt tình , tận tâm giúp đỡ sinh viên .
"
positive,"thầy đôi khi nói hơi khó hiểu .
"
positive,"giảng viên tận tâm , nhiệt tình , hỗ trợ giải đáp thắc mắc môn học cho sinh viên .
"
neutral,"làm bài tập .
"
positive,"cứ ngỡ được 10 điểm là chắc chắn rồi .
"
neutral,"thêm phòng thiết bị để thực hành .
"
neutral,"điểm .
"
positive,"giáo viên tốt bụng , vui tính .
"
negative,"slide quá khó hiểu , nhiều chỗ không giải thích rõ ràng , đặc biệt là các bài hướng dẫn thực hành .
"
negative,"nói rõ mục tiêu cũng như các bước làm của lab , khối lượng bài tập vừa phải .
"
neutral,"phòng học cần lắp thêm quạt và ổ cắm vì sinh viên phải sử dụng laptop để làm bài tập , cần có thêm màn che cửa sổ để có thể theo dõi bài giảng trên slide tốt hơn .
"
neutral,"bài tập không cho ví dụ về nhà để xem lại .
"
neutral,"đầy đủ kiến thức .
"
neutral,"tốt giỏi chu đáo .
"
neutral,"tuy có phần chém gió kinh điển nhưng kiến thức , hiểu biết rộng , đặc biệt về công nghệ .
"
negative,"nhiệt tình , truyền cảm hứng .
"
negative,"thầy hài hước , giọng truyền cảm .
"
negative,"tiết học chưa được thu hút .
"
positive,"giảng viên nên thay đổi phương pháp giảng dạy để tương tác nhiều hơn với sinh viên .
"
neutral,"cần vào thẳng nội dung .
"
negative,"thầy quá bảo thủ , thầy luôn cho rằng ý kiến của thầy là đúng nhất , ngoài ra mọi ý kiến khác đều sai .
"
positive,"giảng viên tận tâm , tạo điều kiện cho học sinh làm bài tập .
"
negative,"cần giải bài tập nhiều hơn .
"
positive,"kiến thức thực tiễn của thầy rộng , giảng dạy vui vẻ .
"
positive,"giảng dạy hay , dễ hiểu , cuốn hút sinh viên .
"
negative,"cách tìm kiếm chúng ở đâu , khai thác chúng ở đâu chứ không phải là phải nhớ mấy cái phương thức hay các hàm rồi viết lên giấy vào đề thi cuối kỳ .
"
negative,"những phần trọng tâm bài tập thì cũng không nói được "" đây là phần quan trọng có trong đề thi các em cần chú ý "" .
"
positive,"giáo viên giảng hay dễ hiểu .
"
negative,"nhiều khi dạy quá thời gian .
"
positive,"thầy vui tính , thương sinh viên , dạy dễ hiểu .
"
positive,"dạy dễ hiểu , thân thiện .
"
neutral,"không nên tổ chức thực hành hình thức 2 .
"
neutral,"giảng viên cần nắm vững xem sinh viên có hiểu được bài hay không và đưa ra phương án để sinh viên nắm vững kiến thức .
"
negative,"thầy thiện nhiệt tình .
"
negative,"truyền đạt thực tiễn vấn đề .
"
positive,"giáo viên rất nhiệt tình và tâm huyết đối với sinh viên .
"
positive,"thầy dạy khá nhiệt tình , vui tính .
"
positive,"thầy dạy rất hay ạ !
"
negative,"không thống nhất trước về hình thức thi và làm bài tập , đến những tuần cuối cùng mới công bố .
"
nagative,"nhằm giảm thời lượng giảng dạy cũng như sự thú vị khi học môn toán .
"
positive,"giảng viên dạy nhiệt tình , dễ hiểu .
"
positive,"em mong cô cũng như toàn thể các giảng viên hãy xem xét lại việc điểm danh vì đại học dù sao cũng là tự học chứ không phải như là phổ thông nữa .
"
positive,"cô cực kỳ nhiệt huyết , cô rất dễ thương <3 cô yêu học trò của mình , cô cực kỳ khách quan , phong cách làm việc của cô rất giống người nước ngoài , em thích cô .
"
positive,"giảng viên nhiệt tình , tận tâm với công việc , slide dễ hiểu , hoạt động học tập sôi nổi .
"
positive,"chú ý giữ sức khỏe , nhất là cổ họng :) .
"
positive,"thầy rất dễ thương .
"
positive,"giảng viên nhiệt tình , thân thiện .
"
positive,"thầy truyền đạt rất tận tình , dễ hiểu lượng bài tập , nội dung thi hợp lý , vừa sức với sinh viên .
"
positive,"giảng viên nên đến đúng giờ hơn và cho nhiều bài tập hơn .
"
positive,"em thấy những nội dung như vậy rất mơ hồ , có tính áp đặt suy nghĩ cho người học .
"
negative,"cần nâng cấp máy tính trong phòng thực hành , nhiều kit de2 bị lỗi cần sửa chữa hoặc thay mới .
"
neutral,"tạo điều kiện cho sinh viên làm việc nhóm .
"
negative,"phương pháp dạy chưa hay .
"
positive,"dạy rất chi tiết và đầy đủ những kiến thức quan trọng .
"
positive,"giọng của giảng viên rất khó nghe nên không thể nghe giảng hết những điều thầy nói .
"
positive,"giảng dạy hay , nhiệt tình .
"
positive,"giảng viên biết cách truyền đạt , giảng rất hay và dễ hiểu .
"
neutral,"dạy hơi nhiều , và hơi nhanh .
"
positive,"nên tạo không khí thoải mái cho tiết học để sinh viên dễ hiểu bài và thêm yêu thích môn học của giảng viên .
"
positive,"giảng dạy tận tâm .
"
positive,"giảng viên không có tính hài hước .
"
positive,"thầy vui tính , giảng bài hay , đưa nhiều thông tin thực tế vào bài giảng .
"
positive,"thẩy wzjwz311 rất vui và nhiệt tình .
"
positive,"giáo viên giảng dạy lôi cuốn .
"
neutral,"thầy dạy hơi chậm .
"
negative,"lần được học thầy , thấm nhiều thứ quá .
"
negative,"nhiều phần trong slide bài giảng của giảng viên không chính xác .
"
positive,"dạy dễ hiểu , sâu rộng .
"
neutral,"giáo viên rất nhiệt tình đối với sinh viên .
"
negative,"cảm thấy hứng thú khi lên lớp .
"
negative,"nhiều lúc thầy vẫn nói lý thuyết nhiều gây nhàm chán .
"
neutral,"phần kiểm tra , thi cử đối với môn này nên đề cao tính tư duy logic của người học cũng như khả năng áp dụng kiến thức đã học vào thực tế thực nghiệm bằng cách chủ yếu đánh giá cao phần thực hành , viết code , làm project .
"
negative,"do môn còn mới nên nhiều vấn đề trục trặc trong quá trình thực hành thầy vẫn chưa giải quyết được , nhưng vẫn rất ủng hộ thầy .
"
positive,"luôn đảm bảo giờ giấc trong tiết học .
"
neutral,"nội dung môn học còn khô , cứng !
"
neutral,"có lúc dạy khó hiểu .
"
negative,"thầy cho bài tập lạ , đa dạng .
"
negative,"sau khi đã học xong môn nhập môn điện tử , em thiết nghĩ môn học này cần có thêm những phần học về thực tế , để sinh viên chúng em có thêm động lực khi học những phần lý thuyết đôi khi "" khô khan "" và "" xa lạ "" đồng thời sẽ tạo được sự đam mê với bộ môn điện tử nói chung ngay từ những ngày đầu học "" nhập môn "" .
"
positive,"giáo viên vui tính , tích cực .
"
positive,"thầy dạy nghiêm túc .
"
neutral,"cơ sở dữ liệu năm nay đã kết hợp với thiết kế cơ sở dữ liệu rồi , kiến thức nhiều mà thi có phần trắc nghiệm nữa thì đánh giá kiến thức học được chưa đảm bảo cho lắm ạ .
"
neutral,"nội dung có liên hệ nhiều với thực tế .
"
positive,"giảng viên có nhiều phương pháp giảng hay .
"
positive,"cô giảng rất hay , rất nhiệt tình khi giảng dạy , rất vui tính .
"
negative,"giáo viên luôn chia sẻ những ứng dụng của kiến thức đã học với thực tiễn , chia sẻ khá nhiều kinh nghiệm thực tế vô cùng bổ ích với sinh viên .
"
neutral,"em thấy rất hài lòng về môn học này , nên em không có ý kiến gì khác cả .
"
positive,"cô vui tính , dạy tốt .
"
negative,"nhiệt tình , giỏi hay giúp đỡ sinh viên và cho nhiều bài tập .
"
neutral,"tôi đã thấy giảng viên chỉ nhìn qua chưa đầy 30 giây và cho điểm 9 ngay lập tức .
"
neutral,"phòng thực hành nên nâng cấp máy tính .
"
negative,"mong muốn giảng viên nào cũng áp dụng như vậy thì quá tốt .
"
positive,"giảng viên cần chuẩn bị giáo án trước khi đến lớp , giảng viên diễn đạt không tốt cần phải học cách diễn đạt cho sinh viên dễ hiểu .
"
neutral,"cần học môn lập trình trực quan trước .
"
negative,"làm tốn thời gian truyền đạt , dẫn đến hứng thú lên lớp nghe giảng bị hạn chế .
"
positive,"thầy dạy tốt , giảng dễ hiểu .
"
neutral,"mở rộng kiến thức nâng cao cho sinh viên .
"
neutral,"chưa có thời gian cho sinh viên ngẫm nghĩ điều mình mới học mà đã qua nội dung khác để theo kịp chương trình .
"
positive,"dạy dễ hiểu .
"
positive,"thầy vui vẻ , thoải mái .
"
positive,"thầy tận tâm , dạy dễ hiểu , vui tính , lớp học thoải mái dễ tiếp thu .
"
negative,"em thích học môn này với cô wzjwz157 .
"
positive,"cô tận tình hướng dẫn chỉ bảo .
"
neutral,"cập nhật điểm thi giữa kỳ chậm , nên sinh viên không biết mức độ phấn đấu như thế nào !
"
positive,"giảng dạy tận tâm , nhiệt tình , dễ hiểu .
"
neutral,"đôi khi trong giờ học kể vài chuyện về đời để đỡ chán =) .
"
positive,"thầy không vui tính .
"
neutral,"cần có sách học hay , chi tiết , hiệu quả :)smile .
"
negative,"nội dung lý thuyết và thực hành của môn học không có bất kỳ liên hệ gì với nhau nội dung lý thuyết không phù hợp với môn học và không tạo được sự quan tâm và mong muốn của sinh viên về kiến thức quản trị mạng như mong đợi .
"
neutral,"cần có khả năng truyền đạt tốt hơn !
"
positive,"giáo viên truyền đạt kiến thức đầy đủ , dễ hiểu , nhiệt tình giảng dạy .
"
neutral,"không có giáo trình .
"
positive,"giảng dạy dễ hiểu , linh động trong nhiều bài tập .
"
positive,"giảng viên giảng dạy tận tình , vui vẻ giúp học viên nhận thức được nhiều kiến thức .
"
neutral,"cải thiện chất lượng phòng máy thực hành .
"
neutral,"thoải mái về thời gian .
"
neutral,"em còn chưa thấy mặt thầy nữa , hoặc có nhưng quên rồi :@ .
"
negative,"các nội dung môn học thầy triển khai không đúng theo khung , mới vào mà thầy dạy servlet thì rất khó hiểu , sinh viên có góp ý qua thầy chủ nhiệm nhưng vẫn không thay đổi .
"
positive,"mọi việc điều được sinh viên tự học , tự tìm hiểu thông qua các trang mạng , thông qua việc email trực tiếp với giảng viên .
"
positive,"slide bài giảng còn lẫn lộn anh việt , phần tiếng việt thì giảng viên lại dùng google dịch nên đọc không hiểu .
"
positive,"cô rất nhiệt tình và thân thiện với sinh viên .
"
neutral,"cần cho nhiều thời gian để sinh viên có đủ thời gian hoàn thành đồ án môn học .
"
positive,"thầy rất vui tính , truyền tải thông tin tuyệt vời .
"
positive,"hy vọng thầy sẽ cải tiến làm cho hoạt động sôi nổi hơn .
"
positive,"thầy khá nhiệt huyết và gần gủi với sinh viên .
"
neutral,"bài tập khắt khe .
"
neutral,"theo thời khóa biểu hiện nay thì học thực hành trước nên sinh viên lúc thực hành chưa hiểu vấn đề nên khó khăn trong việc làm bài .
"
